,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
66,65.0,65,Acer,3,3,1,3,17.0,0.9310344827586208,4,256,6.615,892,Low,0,1
67,66.0,66,Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,3.10905,1206,Low,1,0
68,67.0,67,Lenovo,3,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.52025,1118,Low,1,0
69,68.0,68,Dell,3,1,2,7,15.600000000000001,0.6206896551724138,8,256,4.106221030042918,934,Low,1,0
70,69.0,69,Lenovo,1,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1053,Low,0,1
71,70.0,70,Lenovo,3,2,1,5,15.600000000000001,0.8620689655172414,6,256,4.851000000000001,735,Low,1,0
72,71.0,71,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,6.615,1208,Low,0,1
73,72.0,72,Lenovo,3,2,1,7,15.0,0.9310344827586208,8,256,4.29975,1394,Low,0,1
74,73.0,73,Asus,4,3,1,5,15.600000000000001,0.8620689655172414,8,256,3.7485,1241,Low,1,0
75,74.0,74,Dell,3,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.41,2323,Medium,1,0
76,75.0,75,Lenovo,3,2,1,5,15.600000000000001,0.5517241379310345,8,256,4.52025,939,Low,1,0
77,76.0,76,Acer,3,3,2,7,15.600000000000001,0.9655172413793103,8,256,5.5125,1244,Low,1,0
78,77.0,77,Dell,5,3,1,7,17.3,1.0,16,256,7.5411,3665,High,1,0
79,78.0,78,Toshiba,3,3,1,7,15.0,0.8620689655172414,8,256,4.851000000000001,1325,Low,0,1
80,79.0,79,Lenovo,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.4255000000000004,1269,Low,0,1
81,80.0,80,HP,3,2,1,5,14.0,0.8620689655172414,8,256,4.29975,1245,Low,1,0
82,81.0,81,HP,3,2,1,7,14.0,0.9310344827586208,8,256,3.2634,1641,Medium,1,0
83,82.0,82,Asus,3,2,1,7,14.0,0.9310344827586208,8,256,4.41,1390,Low,1,0
84,83.0,83,Asus,4,3,1,7,15.600000000000001,0.9310344827586208,8,256,3.7485,1334,Low,1,0
85,84.0,84,HP,4,2,1,7,12.5,0.9310344827586208,8,256,2.7783,1696,Medium,1,0
86,85.0,85,Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.41,1198,Low,0,1
87,86.0,86,Asus,1,3,1,7,15.600000000000001,0.9655172413793103,8,256,5.5125,1269,Low,1,0
88,87.0,87,HP,3,2,1,5,14.0,0.896551724137931,8,256,3.2634,1611,Low,1,0
89,88.0,88,HP,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.0572,1453,Low,1,0
90,89.0,89,Dell,3,3,1,5,15.600000000000001,0.5517241379310345,8,256,4.41,1452,Low,1,0
91,90.0,90,Dell,4,2,1,7,13.299999999999999,0.6206896551724138,8,256,2.646,2006,Medium,1,0
92,91.0,91,HP,3,2,1,7,15.600000000000001,0.9310344827586208,8,256,4.0572,1656,Medium,1,0
93,92.0,92,HP,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,5.7330000000000005,2208,Medium,1,0
94,93.0,93,Dell,3,2,1,5,14.0,0.896551724137931,8,256,2.9988,1813,Medium,1,0
95,94.0,94,Asus,3,2,1,5,14.0,0.8620689655172414,8,256,4.41,1200,Low,1,0
96,95.0,95,Dell,3,1,1,7,15.600000000000001,0.9310344827586208,8,256,5.137650000000001,1142,Low,1,0
97,96.0,96,HP,4,2,1,7,14.0,0.9310344827586208,8,256,2.9988,2223,Medium,0,1
98,97.0,97,Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,3.3075,1396,Low,0,1
99,98.0,98,Lenovo,3,2,1,3,13.000000000000002,0.8275862068965517,4,128,3.3075,697,Low,0,1
100,99.0,99,Dell,5,3,1,7,15.0,0.9310344827586208,8,256,4.41,2712,Medium,0,1
101,100.0,100,MSI,1,3,1,7,17.3,0.9655172413793103,8,256,5.953500000000001,1714,Medium,1,0
102,101.0,101,Dell,3,1,2,7,15.600000000000001,0.9310344827586208,8,256,5.137650000000001,989,Low,1,0
103,102.0,102,Lenovo,3,1,1,7,15.0,0.6206896551724138,8,256,4.6305000000000005,1562,Low,0,1
104,103.0,103,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,4.1895,1192,Low,0,1
105,104.0,104,Acer,3,3,2,7,15.600000000000001,0.9655172413793103,8,256,5.5125,1117,Low,1,0
106,105.0,105,Dell,3,1,2,5,15.600000000000001,0.8620689655172414,4,256,5.0714999999999995,761,Low,1,0
107,106.0,106,HP,4,2,1,7,14.0,0.8620689655172414,8,256,3.15315,1905,Medium,1,0
108,107.0,107,Lenovo,4,1,1,7,14.0,0.6206896551724138,8,256,3.85875,1544,Low,0,1
109,108.0,108,HP,3,2,1,7,15.600000000000001,1.0,8,256,5.0935500000000005,1813,Medium,1,0
110,109.0,109,Dell,4,2,2,7,14.0,0.9655172413793103,8,256,3.5280000000000005,1396,Low,1,0
111,110.0,110,Lenovo,3,2,1,7,13.000000000000002,0.9310344827586208,8,256,3.0869999999999997,1283,Low,0,1
112,111.0,111,Lenovo,3,2,1,3,14.0,0.9310344827586208,4,128,3.7485,761,Low,0,1
113,112.0,112,Asus,3,2,2,5,15.600000000000001,0.8620689655172414,4,256,4.41,710,Low,1,0
114,113.0,113,Dell,3,1,1,5,15.600000000000001,0.5517241379310345,4,256,4.851000000000001,951,Low,1,0
115,114.0,114,Lenovo,4,2,1,5,12.0,0.8620689655172414,8,256,2.9988,1815,Medium,0,1
116,115.0,115,Dell,3,3,1,5,14.0,0.9655172413793103,8,256,3.6162,1498,Low,1,0
117,116.0,116,MSI,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.851000000000001,1306,Low,1,0
118,117.0,117,Dell,5,3,1,7,15.0,0.9310344827586208,16,256,4.78485,2509,Medium,0,1
119,118.0,118,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.6382499999999998,1709,Medium,1,0
120,119.0,119,Lenovo,3,3,1,7,15.600000000000001,1.0,8,256,5.88735,2655,Medium,1,0
121,120.0,120,Dell,4,2,1,5,15.600000000000001,0.5517241379310345,8,256,3.1311,2340,Medium,1,0
122,121.0,121,Dell,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,3.9249,3059,High,1,0
123,122.0,122,Toshiba,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.3152500000000003,2124,Medium,0,1
124,123.0,123,HP,3,2,1,5,13.000000000000002,0.5517241379310345,4,128,3.28545,922,Low,0,1
125,124.0,124,Lenovo,3,2,1,5,14.0,0.5517241379310345,8,256,3.85875,1333,Low,0,1
126,125.0,125,Lenovo,3,3,1,5,15.0,0.8620689655172414,8,256,5.0714999999999995,1286,Low,0,1
127,126.0,126,Lenovo,3,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.78485,1142,Low,1,0
128,127.0,127,Lenovo,3,2,1,3,13.000000000000002,0.8275862068965517,8,256,3.0869999999999997,1206,Low,0,1
129,128.0,128,Lenovo,3,2,1,5,15.0,0.8620689655172414,8,256,5.0714999999999995,1157,Low,0,1
130,129.0,129,Lenovo,3,2,1,5,13.299999999999999,0.8620689655172414,8,256,3.1752,1206,Low,1,0
131,130.0,130,Dell,4,2,1,5,13.299999999999999,0.8620689655172414,8,128,2.84445,1142,Low,0,1
132,131.0,131,HP,3,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.498200000000001,1129,Low,1,0
133,132.0,132,HP,4,2,1,7,13.000000000000002,0.9310344827586208,8,256,2.9106,1777,Medium,0,1
134,133.0,133,Dell,3,2,1,5,14.0,0.896551724137931,8,256,3.6162,1626,Medium,1,0
135,134.0,134,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,4.4541,1702,Medium,1,0
136,135.0,135,Dell,3,2,1,5,15.600000000000001,0.9655172413793103,8,256,4.1895,1749,Medium,1,0
137,136.0,136,Dell,3,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.25565,1739,Medium,1,0
138,137.0,137,Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.851000000000001,1013,Low,1,0
139,138.0,138,Lenovo,3,3,1,7,14.0,0.9310344827586208,8,256,4.12335,1091,Low,0,1
140,139.0,139,Dell,3,2,1,3,14.0,0.6896551724137931,4,128,3.5280000000000005,935,Low,1,0
141,140.0,140,HP,3,2,1,3,15.600000000000001,0.8275862068965517,4,128,4.6305000000000005,896,Low,1,0
142,141.0,141,Lenovo,3,2,1,3,15.600000000000001,0.6896551724137931,4,128,4.851000000000001,634,Low,1,0
143,142.0,142,Dell,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.1895,1419,Low,1,0
144,143.0,143,Lenovo,3,2,1,3,15.600000000000001,0.9310344827586208,4,128,4.52025,800,Low,1,0
145,144.0,144,Lenovo,3,3,1,7,17.0,0.9655172413793103,8,256,7.497,3810,High,0,1
146,145.0,145,Lenovo,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,5.0714999999999995,1054,Low,1,0
147,146.0,146,Dell,3,1,2,7,15.600000000000001,0.9310344827586208,8,256,4.851000000000001,951,Low,1,0
148,147.0,147,HP,3,2,1,3,13.299999999999999,0.8275862068965517,4,128,3.28545,913,Low,1,0
149,148.0,148,Dell,3,3,1,7,15.600000000000001,0.9655172413793103,16,256,4.25565,1953,Medium,1,0
150,149.0,149,Lenovo,4,2,1,7,14.0,0.896551724137931,12,256,3.0869999999999997,2125,Medium,0,1
151,150.0,150,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.7485,1872,Medium,0,1
152,151.0,151,Dell,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.5423,2240,Medium,1,0
153,152.0,152,HP,3,2,1,7,15.600000000000001,0.9310344827586208,8,256,4.0572,1548,Low,1,0
154,153.0,153,Toshiba,3,2,1,7,15.0,0.8620689655172414,8,256,4.851000000000001,1777,Medium,0,1
155,154.0,154,Dell,3,1,2,5,15.600000000000001,0.8620689655172414,4,128,4.806900000000001,723,Low,1,0
156,155.0,155,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.6382499999999998,1861,Medium,1,0
157,156.0,156,Dell,3,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.41,2312,Medium,1,0
158,157.0,157,Lenovo,3,2,1,5,15.600000000000001,0.5517241379310345,4,256,3.9690000000000003,1053,Low,1,0
159,158.0,158,Acer,4,2,1,5,14.0,0.8620689655172414,8,256,3.9690000000000003,1167,Low,0,1
160,159.0,159,Razer,1,3,1,7,14.0,0.9655172413793103,16,256,4.29975,3301,High,1,0
161,160.0,160,Toshiba,3,2,1,5,13.299999999999999,0.793103448275862,8,256,2.646,1541,Low,1,0
162,161.0,161,Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,2.9988,2012,Medium,0,1
163,162.0,162,Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,2.646,1842,Medium,1,0
164,163.0,163,Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.851000000000001,1167,Low,1,0
165,164.0,164,Dell,3,2,1,5,14.0,0.8275862068965517,8,256,3.4398000000000004,1561,Low,1,0
166,165.0,165,Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.41,1598,Low,0,1
167,166.0,166,Asus,4,2,1,5,14.0,0.8620689655172414,8,256,2.4255000000000004,1442,Low,1,0
168,167.0,167,Acer,1,3,1,5,15.600000000000001,0.8620689655172414,16,256,5.5125,1650,Medium,1,0
169,168.0,168,MSI,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.851000000000001,1268,Low,1,0
170,169.0,169,HP,3,1,1,3,17.0,0.6896551724137931,4,256,5.5125,888,Low,0,1
171,170.0,170,Lenovo,3,2,1,5,14.0,0.8620689655172414,4,256,3.7485,888,Low,1,0
172,171.0,171,Toshiba,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.3075,1236,Low,0,1
173,172.0,172,Dell,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.806900000000001,1010,Low,1,0
174,173.0,173,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.9690000000000003,1513,Low,1,0
175,174.0,174,Dell,3,3,2,5,14.0,0.9655172413793103,8,256,3.6162,1383,Low,1,0
176,175.0,175,Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,4.12335,1089,Low,0,1
177,176.0,176,Dell,3,2,1,5,15.600000000000001,0.896551724137931,8,256,4.1895,1498,Low,1,0
178,177.0,177,HP,3,3,1,7,17.3,0.9310344827586208,8,256,5.79915,1524,Low,1,0
179,178.0,178,Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.9106,1904,Medium,0,1
180,179.0,179,Lenovo,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.1752,1219,Low,0,1
181,180.0,180,HP,5,3,1,7,15.600000000000001,0.9655172413793103,16,256,5.7330000000000005,3073,High,1,0
182,181.0,181,Toshiba,3,2,1,5,14.0,0.8620689655172414,8,256,2.75625,1950,Medium,0,1
183,182.0,182,Samsung,4,2,1,7,13.299999999999999,0.9310344827586208,16,256,1.7860500000000001,2095,Medium,1,0
184,183.0,183,HP,3,2,1,3,15.600000000000001,0.6896551724137931,8,256,4.1013,685,Low,1,0
185,184.0,184,HP,3,2,1,5,15.600000000000001,0.8275862068965517,8,256,4.0572,2414,Medium,1,0
186,185.0,185,HP,5,3,1,7,15.600000000000001,0.896551724137931,8,256,5.7109499999999995,1983,Medium,1,0
187,186.0,186,Dell,4,2,1,7,12.5,0.9655172413793103,16,256,2.6019,2361,Medium,1,0
188,187.0,187,Samsung,4,2,1,7,15.600000000000001,0.9310344827586208,8,256,2.8885500000000004,2031,Medium,1,0
189,188.0,188,Dell,3,1,1,7,15.600000000000001,0.9310344827586208,16,256,5.0714999999999995,1501,Low,1,0
190,189.0,189,Acer,3,2,1,3,14.0,0.8275862068965517,4,128,3.9690000000000003,808,Low,0,1
191,190.0,190,Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.777100000000001,1251,Low,1,0
192,191.0,191,Dell,3,1,1,3,15.600000000000001,0.6896551724137931,8,256,4.41,939,Low,1,0
193,192.0,192,HP,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,6.9237,2623,Medium,1,0
194,193.0,193,Asus,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,5.22585,1396,Low,1,0
195,194.0,194,Dell,4,2,1,5,13.299999999999999,0.8620689655172414,8,256,2.84445,1904,Medium,1,0
196,195.0,195,Samsung,4,2,1,5,13.299999999999999,0.8620689655172414,8,256,1.7860500000000001,1904,Medium,1,0
197,196.0,196,Dell,3,1,1,5,15.600000000000001,0.8620689655172414,8,256,4.806900000000001,1003,Low,1,0
198,197.0,197,Lenovo,4,2,1,7,14.0,0.9310344827586208,8,256,2.9106,2361,Medium,1,0
199,198.0,198,MSI,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.292,1523,Low,1,0
200,199.0,199,Acer,3,2,1,3,14.0,0.8275862068965517,8,128,3.3075,786,Low,0,1
201,200.0,200,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.7485,1507,Low,1,0
202,201.0,201,Lenovo,3,2,1,5,14.0,0.896551724137931,8,256,2.9106,2096,Medium,0,1
203,202.0,202,Dell,3,1,1,7,15.600000000000001,0.9310344827586208,4,256,4.806900000000001,939,Low,1,0
204,203.0,203,Lenovo,4,3,1,7,14.0,0.9655172413793103,8,256,4.3218,2417,Medium,0,1
205,204.0,204,Asus,3,3,1,7,15.0,0.9310344827586208,8,256,5.0714999999999995,1000,Low,0,1
206,205.0,205,Dell,3,2,1,5,15.600000000000001,0.8620689655172414,8,128,4.1895,1200,Low,1,0
207,206.0,206,HP,3,1,1,5,15.600000000000001,0.896551724137931,8,256,4.0572,1714,Medium,1,0
208,207.0,207,Toshiba,3,2,1,5,13.299999999999999,0.8620689655172414,4,128,2.3152500000000003,1632,Medium,1,0
209,208.0,208,Acer,3,2,1,5,14.0,0.8620689655172414,8,256,3.4398000000000004,1146,Low,0,1
210,209.0,209,Toshiba,3,2,1,7,15.0,0.9310344827586208,8,256,4.41,1763,Medium,0,1
211,210.0,210,Samsung,4,3,1,7,15.0,0.9310344827586208,16,256,2.71215,2349,Medium,1,0
212,211.0,211,Dell,4,2,1,7,12.5,0.9655172413793103,8,256,3.5280000000000005,2147,Medium,1,0
213,212.0,212,Xiaomi,4,3,1,5,13.000000000000002,0.793103448275862,8,256,2.8224,1188,Low,0,1
214,213.0,213,HP,3,2,1,5,15.600000000000001,0.8620689655172414,4,256,4.498200000000001,1066,Low,1,0
215,214.0,214,HP,3,2,1,5,14.0,0.8620689655172414,4,128,4.29975,1607,Low,1,0
216,215.0,215,Samsung,4,2,1,7,15.0,0.9310344827586208,8,256,2.57985,2158,Medium,1,0
217,216.0,216,Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.9106,2285,Medium,0,1
218,217.0,217,Toshiba,3,2,1,5,13.299999999999999,0.8620689655172414,8,256,2.3152500000000003,1874,Medium,1,0
219,218.0,218,Dell,3,2,1,5,14.0,0.9655172413793103,8,256,3.5280000000000005,1531,Low,1,0
220,219.0,219,Lenovo,3,3,1,7,15.600000000000001,0.9310344827586208,6,256,4.851000000000001,1002,Low,1,0
221,220.0,220,HP,3,3,1,7,15.600000000000001,0.9310344827586208,8,256,4.498200000000001,1294,Low,1,0
222,221.0,221,Lenovo,3,2,1,5,13.299999999999999,0.8620689655172414,4,128,3.1752,1119,Low,1,0
223,222.0,222,HP,3,2,1,5,13.299999999999999,0.8620689655172414,8,256,3.28545,1219,Low,1,0
224,223.0,223,HP,4,1,1,7,15.600000000000001,0.8620689655172414,8,256,4.0572,1648,Medium,1,0
225,224.0,224,Toshiba,3,3,1,7,15.0,0.896551724137931,16,256,5.292,2509,Medium,0,1
226,225.0,225,Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,2.9988,2096,Medium,0,1
227,226.0,226,HP,3,2,1,5,15.600000000000001,0.793103448275862,8,256,5.0935500000000005,1480,Low,1,0
228,227.0,227,Toshiba,3,2,1,5,14.0,0.793103448275862,4,128,3.24135,1404,Low,0,1
229,228.0,228,HP,2,2,1,5,12.5,0.793103448275862,8,256,2.7783,2120,Medium,1,0
230,229.0,229,Dell,4,2,1,5,14.0,0.8620689655172414,8,256,2.9988,2082,Medium,1,0
231,230.0,230,Dell,4,2,1,5,15.600000000000001,0.8620689655172414,8,256,2.9988,1870,Medium,1,0
232,231.0,231,Dell,4,2,1,7,14.0,0.9655172413793103,8,256,2.9988,2255,Medium,1,0
233,232.0,232,Toshiba,3,2,1,5,13.299999999999999,0.793103448275862,8,256,2.646,1855,Medium,1,0
234,233.0,233,Lenovo,4,2,1,7,14.0,0.896551724137931,8,256,3.7485,1891,Medium,0,1
235,234.0,234,Toshiba,3,2,1,5,13.299999999999999,0.8275862068965517,8,256,2.646,1950,Medium,1,0
236,235.0,235,Lenovo,4,2,1,5,12.0,0.896551724137931,8,256,2.9988,2236,Medium,0,1
237,236.0,236,Lenovo,3,3,1,5,15.600000000000001,0.8620689655172414,6,256,5.292,883,Low,1,0
238,237.0,237,Toshiba,3,2,1,5,14.0,0.793103448275862,8,256,4.29975,1499,Low,1,0
