,Unnamed: 0.1,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_in,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_lbs,Price,Price-binned,Screen_Full-HD,Screen_IPS-Panel
58,58,58,Acer,3,3,1,7,15.6,0.9310344827586208,8,256,4.85,1057,Low,True,False
59,59,59,Asus,3,3,1,5,15.6,0.8620689655172414,8,256,4.41,977,Low,True,False
60,60,60,Dell,3,2,1,5,14.0,0.8620689655172414,8,256,3.53,1091,Low,True,False
61,61,61,Dell,3,1,2,7,15.6,0.9310344827586208,16,256,4.11,1142,Low,True,False
62,62,62,Acer,1,3,1,5,15.0,0.8620689655172414,8,256,5.51,1075,Low,False,True
63,63,63,Dell,1,3,1,5,15.6,0.8620689655172414,8,256,5.64,1117,Low,True,False
64,64,64,Asus,1,3,1,7,17.3,1.0,16,256,7.94,3810,High,True,False
65,65,65,Acer,3,3,1,3,17.0,0.9310344827586208,4,256,6.62,892,Low,False,True
66,66,66,Dell,4,2,1,5,13.3,0.5517241379310345,8,256,3.11,1206,Low,True,False
67,67,67,Lenovo,3,2,1,7,15.6,0.6206896551724138,8,256,4.52,1118,Low,True,False
68,68,68,Dell,3,1,2,7,15.6,0.6206896551724138,8,256,4.11,934,Low,True,False
69,69,69,Lenovo,1,3,1,5,15.0,0.8620689655172414,8,256,5.51,1053,Low,False,True
70,70,70,Lenovo,3,2,1,5,15.6,0.8620689655172414,6,256,4.85,735,Low,True,False
71,71,71,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,6.62,1208,Low,False,True
72,72,72,Lenovo,3,2,1,7,15.0,0.9310344827586208,8,256,4.3,1394,Low,False,True
73,73,73,Asus,4,3,1,5,15.6,0.8620689655172414,8,256,3.75,1241,Low,True,False
74,74,74,Dell,3,3,1,7,15.6,0.9655172413793104,8,256,4.41,2323,Medium,True,False
75,75,75,Lenovo,3,2,1,5,15.6,0.5517241379310345,8,256,4.52,939,Low,True,False
76,76,76,Acer,3,3,2,7,15.6,0.9655172413793104,8,256,5.51,1244,Low,True,False
77,77,77,Dell,5,3,1,7,17.3,1.0,16,256,7.54,3665,High,True,False
78,78,78,Toshiba,3,3,1,7,15.0,0.8620689655172414,8,256,4.85,1325,Low,False,True
79,79,79,Lenovo,3,2,1,5,13.0,0.8620689655172414,8,256,2.43,1269,Low,False,True
80,80,80,HP,3,2,1,5,14.0,0.8620689655172414,8,256,4.3,1245,Low,True,False
81,81,81,HP,3,2,1,7,14.0,0.9310344827586208,8,256,3.26,1641,Medium,True,False
82,82,82,Asus,3,2,1,7,14.0,0.9310344827586208,8,256,4.41,1390,Low,True,False
83,83,83,Asus,4,3,1,7,15.6,0.9310344827586208,8,256,3.75,1334,Low,True,False
84,84,84,HP,4,2,1,7,12.5,0.9310344827586208,8,256,2.78,1696,Medium,True,False
85,85,85,Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.41,1198,Low,False,True
86,86,86,Asus,1,3,1,7,15.6,0.9655172413793104,8,256,5.51,1269,Low,True,False
87,87,87,HP,3,2,1,5,14.0,0.896551724137931,8,256,3.26,1611,Low,True,False
88,88,88,HP,3,2,1,5,15.6,0.8620689655172414,8,256,4.06,1453,Low,True,False
89,89,89,Dell,3,3,1,5,15.6,0.5517241379310345,8,256,4.41,1452,Low,True,False
90,90,90,Dell,4,2,1,7,13.3,0.6206896551724138,8,256,2.65,2006,Medium,True,False
91,91,91,HP,3,2,1,7,15.6,0.9310344827586208,8,256,4.06,1656,Medium,True,False
92,92,92,HP,5,3,1,7,15.6,0.9655172413793104,8,256,5.73,2208,Medium,True,False
93,93,93,Dell,3,2,1,5,14.0,0.896551724137931,8,256,3.0,1813,Medium,True,False
94,94,94,Asus,3,2,1,5,14.0,0.8620689655172414,8,256,4.41,1200,Low,True,False
95,95,95,Dell,3,1,1,7,15.6,0.9310344827586208,8,256,5.14,1142,Low,True,False
96,96,96,HP,4,2,1,7,14.0,0.9310344827586208,8,256,3.0,2223,Medium,False,True
97,97,97,Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,3.31,1396,Low,False,True
98,98,98,Lenovo,3,2,1,3,13.0,0.8275862068965517,4,128,3.31,697,Low,False,True
99,99,99,Dell,5,3,1,7,15.0,0.9310344827586208,8,256,4.41,2712,Medium,False,True
100,100,100,MSI,1,3,1,7,17.3,0.9655172413793104,8,256,5.95,1714,Medium,True,False
101,101,101,Dell,3,1,2,7,15.6,0.9310344827586208,8,256,5.14,989,Low,True,False
102,102,102,Lenovo,3,1,1,7,15.0,0.6206896551724138,8,256,4.63,1562,Low,False,True
103,103,103,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,4.19,1192,Low,False,True
104,104,104,Acer,3,3,2,7,15.6,0.9655172413793104,8,256,5.51,1117,Low,True,False
105,105,105,Dell,3,1,2,5,15.6,0.8620689655172414,4,256,5.07,761,Low,True,False
106,106,106,HP,4,2,1,7,14.0,0.8620689655172414,8,256,3.15,1905,Medium,True,False
107,107,107,Lenovo,4,1,1,7,14.0,0.6206896551724138,8,256,3.86,1544,Low,False,True
108,108,108,HP,3,2,1,7,15.6,1.0,8,256,5.09,1813,Medium,True,False
109,109,109,Dell,4,2,2,7,14.0,0.9655172413793104,8,256,3.53,1396,Low,True,False
110,110,110,Lenovo,3,2,1,7,13.0,0.9310344827586208,8,256,3.09,1283,Low,False,True
111,111,111,Lenovo,3,2,1,3,14.0,0.9310344827586208,4,128,3.75,761,Low,False,True
112,112,112,Asus,3,2,2,5,15.6,0.8620689655172414,4,256,4.41,710,Low,True,False
113,113,113,Dell,3,1,1,5,15.6,0.5517241379310345,4,256,4.85,951,Low,True,False
114,114,114,Lenovo,4,2,1,5,12.0,0.8620689655172414,8,256,3.0,1815,Medium,False,True
115,115,115,Dell,3,3,1,5,14.0,0.9655172413793104,8,256,3.62,1498,Low,True,False
116,116,116,MSI,1,3,1,5,15.6,0.8620689655172414,8,256,4.85,1306,Low,True,False
117,117,117,Dell,5,3,1,7,15.0,0.9310344827586208,16,256,4.78,2509,Medium,False,True
118,118,118,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.64,1709,Medium,True,False
119,119,119,Lenovo,3,3,1,7,15.6,1.0,8,256,5.89,2655,Medium,True,False
120,120,120,Dell,4,2,1,5,15.6,0.5517241379310345,8,256,3.13,2340,Medium,True,False
121,121,121,Dell,5,3,1,7,15.6,0.9655172413793104,8,256,3.92,3059,High,True,False
122,122,122,Toshiba,3,2,1,5,13.0,0.8620689655172414,8,256,2.32,2124,Medium,False,True
123,123,123,HP,3,2,1,5,13.0,0.5517241379310345,4,128,3.29,922,Low,False,True
124,124,124,Lenovo,3,2,1,5,14.0,0.5517241379310345,8,256,3.86,1333,Low,False,True
125,125,125,Lenovo,3,3,1,5,15.0,0.8620689655172414,8,256,5.07,1286,Low,False,True
126,126,126,Lenovo,3,2,1,7,15.6,0.6206896551724138,8,256,4.78,1142,Low,True,False
127,127,127,Lenovo,3,2,1,3,13.0,0.8275862068965517,8,256,3.09,1206,Low,False,True
128,128,128,Lenovo,3,2,1,5,15.0,0.8620689655172414,8,256,5.07,1157,Low,False,True
129,129,129,Lenovo,3,2,1,5,13.3,0.8620689655172414,8,256,3.18,1206,Low,True,False
130,130,130,Dell,4,2,1,5,13.3,0.8620689655172414,8,128,2.84,1142,Low,False,True
131,131,131,HP,3,3,1,5,15.6,0.8620689655172414,8,256,4.5,1129,Low,True,False
132,132,132,HP,4,2,1,7,13.0,0.9310344827586208,8,256,2.91,1777,Medium,False,True
133,133,133,Dell,3,2,1,5,14.0,0.896551724137931,8,256,3.62,1626,Medium,True,False
134,134,134,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,4.45,1702,Medium,True,False
135,135,135,Dell,3,2,1,5,15.6,0.9655172413793104,8,256,4.19,1749,Medium,True,False
136,136,136,Dell,3,3,1,7,15.6,0.9655172413793104,8,256,4.26,1739,Medium,True,False
137,137,137,Dell,3,1,1,5,15.6,0.5517241379310345,8,256,4.85,1013,Low,True,False
138,138,138,Lenovo,3,3,1,7,14.0,0.9310344827586208,8,256,4.12,1091,Low,False,True
139,139,139,Dell,3,2,1,3,14.0,0.6896551724137931,4,128,3.53,935,Low,True,False
140,140,140,HP,3,2,1,3,15.6,0.8275862068965517,4,128,4.63,896,Low,True,False
141,141,141,Lenovo,3,2,1,3,15.6,0.6896551724137931,4,128,4.85,634,Low,True,False
142,142,142,Dell,3,2,1,5,15.6,0.8620689655172414,8,256,4.19,1419,Low,True,False
143,143,143,Lenovo,3,2,1,3,15.6,0.9310344827586208,4,128,4.52,800,Low,True,False
144,144,144,Lenovo,3,3,1,7,17.0,0.9655172413793104,8,256,7.5,3810,High,False,True
145,145,145,Lenovo,3,2,1,5,15.6,0.8620689655172414,8,256,5.07,1054,Low,True,False
146,146,146,Dell,3,1,2,7,15.6,0.9310344827586208,8,256,4.85,951,Low,True,False
147,147,147,HP,3,2,1,3,13.3,0.8275862068965517,4,128,3.29,913,Low,True,False
148,148,148,Dell,3,3,1,7,15.6,0.9655172413793104,16,256,4.26,1953,Medium,True,False
149,149,149,Lenovo,4,2,1,7,14.0,0.896551724137931,12,256,3.09,2125,Medium,False,True
150,150,150,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.75,1872,Medium,False,True
151,151,151,Dell,5,3,1,7,15.6,0.9655172413793104,8,256,4.54,2240,Medium,True,False
152,152,152,HP,3,2,1,7,15.6,0.9310344827586208,8,256,4.06,1548,Low,True,False
153,153,153,Toshiba,3,2,1,7,15.0,0.8620689655172414,8,256,4.85,1777,Medium,False,True
154,154,154,Dell,3,1,2,5,15.6,0.8620689655172414,4,128,4.81,723,Low,True,False
155,155,155,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.64,1861,Medium,True,False
156,156,156,Dell,3,3,1,7,15.6,0.9655172413793104,8,256,4.41,2312,Medium,True,False
157,157,157,Lenovo,3,2,1,5,15.6,0.5517241379310345,4,256,3.97,1053,Low,True,False
158,158,158,Acer,4,2,1,5,14.0,0.8620689655172414,8,256,3.97,1167,Low,False,True
159,159,159,Razer,1,3,1,7,14.0,0.9655172413793104,16,256,4.3,3301,High,True,False
160,160,160,Toshiba,3,2,1,5,13.3,0.793103448275862,8,256,2.65,1541,Low,True,False
161,161,161,Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,3.0,2012,Medium,False,True
162,162,162,Dell,4,2,1,5,13.3,0.5517241379310345,8,256,2.65,1842,Medium,True,False
163,163,163,Dell,3,1,1,7,15.6,0.6206896551724138,8,256,4.85,1167,Low,True,False
164,164,164,Dell,3,2,1,5,14.0,0.8275862068965517,8,256,3.44,1561,Low,True,False
165,165,165,Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.41,1598,Low,False,True
166,166,166,Asus,4,2,1,5,14.0,0.8620689655172414,8,256,2.43,1442,Low,True,False
167,167,167,Acer,1,3,1,5,15.6,0.8620689655172414,16,256,5.51,1650,Medium,True,False
168,168,168,MSI,1,3,1,5,15.6,0.8620689655172414,8,256,4.85,1268,Low,True,False
169,169,169,HP,3,1,1,3,17.0,0.6896551724137931,4,256,5.51,888,Low,False,True
170,170,170,Lenovo,3,2,1,5,14.0,0.8620689655172414,4,256,3.75,888,Low,True,False
171,171,171,Toshiba,3,2,1,5,13.0,0.8620689655172414,8,256,3.31,1236,Low,False,True
172,172,172,Dell,3,2,1,5,15.6,0.8620689655172414,8,256,4.81,1010,Low,True,False
173,173,173,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.97,1513,Low,True,False
174,174,174,Dell,3,3,2,5,14.0,0.9655172413793104,8,256,3.62,1383,Low,True,False
175,175,175,Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,4.12,1089,Low,False,True
176,176,176,Dell,3,2,1,5,15.6,0.896551724137931,8,256,4.19,1498,Low,True,False
177,177,177,HP,3,3,1,7,17.3,0.9310344827586208,8,256,5.8,1524,Low,True,False
178,178,178,Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.91,1904,Medium,False,True
179,179,179,Lenovo,3,2,1,5,13.0,0.8620689655172414,8,256,3.18,1219,Low,False,True
180,180,180,HP,5,3,1,7,15.6,0.9655172413793104,16,256,5.73,3073,High,True,False
181,181,181,Toshiba,3,2,1,5,14.0,0.8620689655172414,8,256,2.76,1950,Medium,False,True
182,182,182,Samsung,4,2,1,7,13.3,0.9310344827586208,16,256,1.79,2095,Medium,True,False
183,183,183,HP,3,2,1,3,15.6,0.6896551724137931,8,256,4.1,685,Low,True,False
184,184,184,HP,3,2,1,5,15.6,0.8275862068965517,8,256,4.06,2414,Medium,True,False
185,185,185,HP,5,3,1,7,15.6,0.896551724137931,8,256,5.71,1983,Medium,True,False
186,186,186,Dell,4,2,1,7,12.5,0.9655172413793104,16,256,2.6,2361,Medium,True,False
187,187,187,Samsung,4,2,1,7,15.6,0.9310344827586208,8,256,2.89,2031,Medium,True,False
188,188,188,Dell,3,1,1,7,15.6,0.9310344827586208,16,256,5.07,1501,Low,True,False
189,189,189,Acer,3,2,1,3,14.0,0.8275862068965517,4,128,3.97,808,Low,False,True
190,190,190,Dell,1,3,1,5,15.6,0.8620689655172414,8,256,5.78,1251,Low,True,False
191,191,191,Dell,3,1,1,3,15.6,0.6896551724137931,8,256,4.41,939,Low,True,False
192,192,192,HP,5,3,1,7,15.6,0.9655172413793104,8,256,6.92,2623,Medium,True,False
193,193,193,Asus,3,2,1,5,15.6,0.8620689655172414,8,256,5.23,1396,Low,True,False
194,194,194,Dell,4,2,1,5,13.3,0.8620689655172414,8,256,2.84,1904,Medium,True,False
195,195,195,Samsung,4,2,1,5,13.3,0.8620689655172414,8,256,1.79,1904,Medium,True,False
196,196,196,Dell,3,1,1,5,15.6,0.8620689655172414,8,256,4.81,1003,Low,True,False
197,197,197,Lenovo,4,2,1,7,14.0,0.9310344827586208,8,256,2.91,2361,Medium,True,False
198,198,198,MSI,1,3,1,5,15.6,0.8620689655172414,8,256,5.29,1523,Low,True,False
199,199,199,Acer,3,2,1,3,14.0,0.8275862068965517,8,128,3.31,786,Low,False,True
200,200,200,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.75,1507,Low,True,False
201,201,201,Lenovo,3,2,1,5,14.0,0.896551724137931,8,256,2.91,2096,Medium,False,True
202,202,202,Dell,3,1,1,7,15.6,0.9310344827586208,4,256,4.81,939,Low,True,False
203,203,203,Lenovo,4,3,1,7,14.0,0.9655172413793104,8,256,4.32,2417,Medium,False,True
204,204,204,Asus,3,3,1,7,15.0,0.9310344827586208,8,256,5.07,1000,Low,False,True
205,205,205,Dell,3,2,1,5,15.6,0.8620689655172414,8,128,4.19,1200,Low,True,False
206,206,206,HP,3,1,1,5,15.6,0.896551724137931,8,256,4.06,1714,Medium,True,False
207,207,207,Toshiba,3,2,1,5,13.3,0.8620689655172414,4,128,2.32,1632,Medium,True,False
208,208,208,Acer,3,2,1,5,14.0,0.8620689655172414,8,256,3.44,1146,Low,False,True
209,209,209,Toshiba,3,2,1,7,15.0,0.9310344827586208,8,256,4.41,1763,Medium,False,True
210,210,210,Samsung,4,3,1,7,15.0,0.9310344827586208,16,256,2.71,2349,Medium,True,False
211,211,211,Dell,4,2,1,7,12.5,0.9655172413793104,8,256,3.53,2147,Medium,True,False
212,212,212,Xiaomi,4,3,1,5,13.0,0.793103448275862,8,256,2.82,1188,Low,False,True
213,213,213,HP,3,2,1,5,15.6,0.8620689655172414,4,256,4.5,1066,Low,True,False
214,214,214,HP,3,2,1,5,14.0,0.8620689655172414,4,128,4.3,1607,Low,True,False
215,215,215,Samsung,4,2,1,7,15.0,0.9310344827586208,8,256,2.58,2158,Medium,True,False
216,216,216,Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.91,2285,Medium,False,True
217,217,217,Toshiba,3,2,1,5,13.3,0.8620689655172414,8,256,2.32,1874,Medium,True,False
218,218,218,Dell,3,2,1,5,14.0,0.9655172413793104,8,256,3.53,1531,Low,True,False
219,219,219,Lenovo,3,3,1,7,15.6,0.9310344827586208,6,256,4.85,1002,Low,True,False
220,220,220,HP,3,3,1,7,15.6,0.9310344827586208,8,256,4.5,1294,Low,True,False
221,221,221,Lenovo,3,2,1,5,13.3,0.8620689655172414,4,128,3.18,1119,Low,True,False
222,222,222,HP,3,2,1,5,13.3,0.8620689655172414,8,256,3.29,1219,Low,True,False
223,223,223,HP,4,1,1,7,15.6,0.8620689655172414,8,256,4.06,1648,Medium,True,False
224,224,224,Toshiba,3,3,1,7,15.0,0.896551724137931,16,256,5.29,2509,Medium,False,True
225,225,225,Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,3.0,2096,Medium,False,True
226,226,226,HP,3,2,1,5,15.6,0.793103448275862,8,256,5.09,1480,Low,True,False
227,227,227,Toshiba,3,2,1,5,14.0,0.793103448275862,4,128,3.24,1404,Low,False,True
228,228,228,HP,2,2,1,5,12.5,0.793103448275862,8,256,2.78,2120,Medium,True,False
229,229,229,Dell,4,2,1,5,14.0,0.8620689655172414,8,256,3.0,2082,Medium,True,False
230,230,230,Dell,4,2,1,5,15.6,0.8620689655172414,8,256,3.0,1870,Medium,True,False
231,231,231,Dell,4,2,1,7,14.0,0.9655172413793104,8,256,3.0,2255,Medium,True,False
232,232,232,Toshiba,3,2,1,5,13.3,0.793103448275862,8,256,2.65,1855,Medium,True,False
233,233,233,Lenovo,4,2,1,7,14.0,0.896551724137931,8,256,3.75,1891,Medium,False,True
234,234,234,Toshiba,3,2,1,5,13.3,0.8275862068965517,8,256,2.65,1950,Medium,True,False
235,235,235,Lenovo,4,2,1,5,12.0,0.896551724137931,8,256,3.0,2236,Medium,False,True
236,236,236,Lenovo,3,3,1,5,15.6,0.8620689655172414,6,256,5.29,883,Low,True,False
237,237,237,Toshiba,3,2,1,5,14.0,0.793103448275862,8,256,4.3,1499,Low,True,False
