model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 Fiesta,2019,Manual,7,Petrol,145.0,48.7,1.1,13140
 Fiesta,2018,Semi-Auto,43019,Petrol,145.0,48.7,1.0,10491
 Kuga,2016,Semi-Auto,41607,Diesel,145.0,54.3,2.0,13870
 Focus,2017,Manual,23554,Petrol,145.0,41.5,2.0,14960
 Fiesta,2019,Manual,6923,Petrol,145.0,58.9,1.0,13540
 Focus,2019,Manual,10985,Diesel,145.0,74.3,1.5,17970
 C-MAX,2017,Manual,29617,Diesel,20.0,68.9,1.5,9330
 Fiesta,2016,Manual,47613,Petrol,0.0,65.7,1.0,6000
 Ka+,2019,Manual,5122,Petrol,145.0,43.5,1.2,8995
 Ka+,2019,Manual,32,Petrol,145.0,48.7,1.2,8495
 Fiesta,2016,Manual,31562,Petrol,125.0,54.3,1.2,6395
 Focus,2019,Manual,8131,Petrol,145.0,58.9,1.0,14495
 Tourneo Custom,2018,Automatic,24568,Diesel,145.0,31.7,2.0,19995
 S-MAX,2017,Automatic,39605,Diesel,145.0,54.3,2.0,18495
 Focus,2019,Manual,11496,Diesel,145.0,57.6,2.0,17995
 Fiesta,2013,Manual,51271,Petrol,30.0,54.3,1.2,5495
 Kuga,2018,Automatic,7189,Diesel,145.0,58.9,1.5,16995
 Kuga,2018,Manual,29428,Diesel,145.0,54.3,1.5,16495
 Kuga,2018,Manual,12162,Petrol,145.0,39.2,1.5,17998
 B-MAX,2014,Semi-Auto,33023,Petrol,160.0,44.1,1.6,7498
 Focus,2019,Manual,2714,Petrol,150.0,49.6,1.0,17498
 S-MAX,2017,Manual,17051,Diesel,150.0,56.5,2.0,17498
 Fiesta,2013,Manual,44304,Diesel,0.0,76.4,1.5,5998
 Kuga,2019,Manual,4844,Petrol,145.0,34.4,1.5,17698
 Kuga,2016,Manual,31810,Diesel,125.0,60.1,2.0,11000
 EcoSport,2017,Manual,43081,Petrol,145.0,44.8,1.5,8700
 Kuga,2017,Manual,47159,Diesel,145.0,54.3,2.0,15300
 Fiesta,2013,Manual,25000,Petrol,0.0,65.7,1.0,7490
 Focus,2017,Manual,29891,Petrol,145.0,60.1,1.0,10760
 Kuga,2019,Manual,10237,Petrol,145.0,39.2,1.5,18760
 Fiesta,2014,Manual,48653,Petrol,0.0,65.7,1.0,6360
 Fiesta,2014,Manual,60888,Petrol,0.0,65.7,1.0,6270
 Kuga,2017,Automatic,15815,Petrol,235.0,38.2,1.5,17920
 Fiesta,2013,Manual,74128,Petrol,0.0,65.7,1.0,4790
 Focus,2015,Manual,50124,Diesel,0.0,74.3,1.5,7830
 Fiesta,2015,Manual,29851,Diesel,0.0,76.4,1.5,6990
 Edge,2016,Manual,24105,Diesel,160.0,48.7,2.0,18640
 Fiesta,2015,Manual,28935,Petrol,30.0,54.3,1.2,6700
 Fiesta,2018,Manual,30925,Petrol,145.0,65.7,1.0,9498
 Focus,2018,Manual,13418,Petrol,145.0,58.9,1.0,13698
 Fiesta,2018,Manual,13756,Petrol,145.0,58.9,1.0,13298
 Kuga,2015,Manual,25175,Diesel,145.0,54.3,2.0,14398
 Fiesta,2017,Manual,21267,Petrol,145.0,64.2,1.1,8998
 Fiesta,2019,Manual,12130,Petrol,145.0,56.5,1.0,12698
 Fiesta,2019,Manual,17354,Petrol,145.0,56.5,1.0,11998
 Fiesta,2019,Manual,15822,Petrol,145.0,58.9,1.0,13498
 Fiesta,2019,Manual,10557,Petrol,145.0,58.9,1.0,13498
 Focus,2016,Manual,20786,Petrol,20.0,61.4,1.0,9698
 Focus,2016,Manual,7997,Petrol,235.0,36.7,2.3,24995
 Fiesta,2017,Manual,19079,Petrol,145.0,65.7,1.0,9895
 Fiesta,2018,Manual,14979,Petrol,145.0,58.9,1.0,12995
 Tourneo Connect,2015,Manual,47904,Diesel,125.0,56.5,1.6,9295
 Fiesta,2016,Manual,24410,Petrol,125.0,54.3,1.2,8495
 Fiesta,2019,Manual,13600,Petrol,145.0,58.9,1.0,13895
 Focus,2018,Manual,21456,Diesel,145.0,67.3,2.0,18298
 Focus,2015,Manual,31512,Diesel,0.0,74.3,1.5,9198
 Fiesta,2016,Manual,11843,Petrol,0.0,65.7,1.0,10798
 Fiesta,2016,Manual,31373,Petrol,0.0,65.7,1.0,8998
 Kuga,2018,Manual,7796,Diesel,145.0,54.3,1.5,18498
 Kuga,2017,Manual,26597,Diesel,145.0,54.3,2.0,13498
 Kuga,2017,Manual,15978,Diesel,30.0,64.2,1.5,14998
 Kuga,2017,Automatic,13265,Petrol,240.0,38.2,1.5,13998
 EcoSport,2016,Manual,20491,Petrol,125.0,52.3,1.0,9998
 Tourneo Connect,2017,Manual,16310,Petrol,125.0,50.4,1.0,10998
 Focus,2017,Manual,14557,Petrol,145.0,41.5,2.0,17698
 Focus,2017,Semi-Auto,30917,Petrol,125.0,51.4,1.0,11498
 Focus,2017,Manual,22153,Diesel,145.0,74.3,1.5,12798
 C-MAX,2015,Manual,31743,Petrol,30.0,55.4,1.0,8698
 Kuga,2019,Manual,13673,Diesel,145.0,47.9,2.0,19495
 Fiesta,2018,Manual,25776,Petrol,145.0,65.7,1.0,9995
 Focus,2016,Manual,30923,Diesel,0.0,74.3,1.5,10995
 Kuga,2017,Manual,24504,Diesel,150.0,64.2,1.5,13998
 Fiesta,2017,Manual,6568,Petrol,145.0,62.8,1.0,11998
 Tourneo Connect,2016,Manual,42960,Diesel,30.0,61.4,1.5,8998
 Kuga,2018,Manual,5117,Diesel,145.0,54.3,1.5,16698
 EcoSport,2016,Manual,31736,Petrol,125.0,53.3,1.0,8998
 Fiesta,2015,Manual,19212,Petrol,0.0,65.7,1.0,7998
 Fiesta,2018,Manual,12426,Petrol,145.0,65.7,1.0,12495
 Ka+,2017,Manual,12872,Petrol,145.0,57.7,1.2,7995
 Puma,2020,Manual,4111,Petrol,145.0,50.4,1.0,21995
 Kuga,2018,Manual,34690,Diesel,145.0,60.1,2.0,16995
 Fiesta,2018,Manual,32168,Petrol,145.0,65.7,1.0,11995
 Kuga,2019,Manual,11312,Diesel,145.0,47.9,2.0,19995
 Fiesta,2017,Manual,31559,Petrol,145.0,65.7,1.0,8995
 Ka+,2017,Manual,23000,Petrol,145.0,57.7,1.2,8295
 EcoSport,2018,Manual,6442,Petrol,145.0,54.3,1.0,14698
 Fiesta,2016,Semi-Auto,29590,Petrol,0.0,57.7,1.0,10498
 Focus,2018,Manual,17030,Petrol,145.0,57.7,1.0,14495
 Focus,2016,Manual,22493,Petrol,20.0,60.1,1.0,8995
 Focus,2016,Manual,29600,Diesel,20.0,67.3,2.0,15995
 C-MAX,2016,Semi-Auto,26500,Diesel,125.0,58.9,2.0,10995
 Tourneo Custom,2017,Manual,14000,Diesel,200.0,44.8,2.0,19995
 C-MAX,2013,Manual,34783,Diesel,30.0,61.4,1.6,8295
 Focus,2015,Manual,56655,Diesel,20.0,67.3,1.6,7995
 Kuga,2019,Manual,16000,Diesel,150.0,47.9,2.0,19995
 Mondeo,2015,Manual,30753,Diesel,0.0,78.5,1.5,9995
 Grand C-MAX,2018,Manual,1030,Petrol,145.0,47.9,1.0,13495
 C-MAX,2017,Manual,7817,Petrol,145.0,55.4,1.0,12995
 Focus,2018,Manual,9781,Petrol,145.0,60.1,1.0,12995
 EcoSport,2018,Manual,17241,Petrol,145.0,54.3,1.0,12998
 Tourneo Connect,2015,Manual,28309,Diesel,125.0,58.9,1.6,10298
 Fiesta,2017,Manual,50599,Petrol,0.0,65.7,1.0,10498
 Focus,2018,Semi-Auto,37880,Diesel,150.0,74.3,1.5,11298
 Kuga,2016,Manual,56888,Diesel,125.0,60.1,2.0,10698
 Focus,2018,Manual,10500,Petrol,145.0,60.1,1.0,15995
 B-MAX,2014,Semi-Auto,50800,Petrol,160.0,44.1,1.6,6995
 Fiesta,2019,Manual,6700,Petrol,145.0,58.9,1.0,13950
 Fiesta,2017,Manual,31800,Petrol,150.0,65.7,1.0,10650
 Fiesta,2016,Manual,20700,Petrol,125.0,54.3,1.2,7995
 Focus,2016,Manual,29900,Diesel,0.0,74.3,1.5,11495
 Kuga,2018,Manual,32858,Diesel,145.0,54.3,2.0,16995
 Fiesta,2018,Manual,31593,Petrol,145.0,65.7,1.0,11995
 Focus,2015,Manual,13791,Petrol,125.0,51.4,1.5,10995
 Kuga,2019,Manual,12034,Diesel,145.0,47.9,2.0,20495
 Focus,2018,Manual,10923,Diesel,145.0,67.3,2.0,19995
 Kuga,2019,Manual,10171,Diesel,145.0,38.2,2.0,19995
 Focus,2016,Manual,30923,Diesel,0.0,74.3,1.5,10995
 EcoSport,2019,Manual,2291,Petrol,145.0,52.3,1.0,18995
 Focus,2017,Manual,23469,Petrol,125.0,51.4,1.5,11995
 Kuga,2017,Manual,13626,Diesel,125.0,60.1,2.0,16998
 Fiesta,2016,Manual,35180,Petrol,125.0,54.3,1.2,7398
 Fiesta,2019,Manual,17708,Petrol,145.0,58.9,1.0,11498
 Fiesta,2019,Manual,9957,Petrol,145.0,58.9,1.0,13998
 Focus,2019,Manual,4542,Petrol,145.0,60.1,1.0,16698
 Mondeo,2016,Manual,38358,Diesel,0.0,78.5,1.5,9998
 Focus,2015,Manual,25878,Diesel,20.0,67.3,2.0,12998
 EcoSport,2016,Semi-Auto,18325,Petrol,160.0,44.8,1.5,9998
 Focus,2017,Manual,9338,Petrol,145.0,60.1,1.0,12498
 EcoSport,2018,Manual,7133,Diesel,145.0,58.9,1.5,14998
 Focus,2017,Manual,42002,Petrol,20.0,60.1,1.0,10498
 Kuga,2017,Automatic,3700,Petrol,145.0,38.2,1.5,16995
 Focus,2019,Manual,5600,Petrol,145.0,60.1,1.0,15495
 Fiesta,2015,Manual,17288,Petrol,0.0,65.7,1.0,9495
 B-MAX,2013,Manual,42996,Diesel,20.0,70.6,1.6,5995
 Focus,2014,Manual,47566,Petrol,30.0,56.5,1.0,7498
 Fiesta,2017,Manual,4262,Petrol,0.0,65.7,1.0,11798
 Fiesta,2017,Manual,10125,Petrol,145.0,65.7,1.0,10998
 Focus,2017,Automatic,17028,Petrol,150.0,46.3,1.5,14998
 Fiesta,2017,Manual,12753,Petrol,145.0,54.3,1.2,8998
 Focus,2016,Manual,24895,Diesel,20.0,67.3,2.0,13998
 Focus,2017,Manual,9066,Petrol,145.0,41.5,2.0,17998
 Fiesta,2019,Manual,3292,Petrol,145.0,40.3,1.5,18998
 Kuga,2013,Semi-Auto,48130,Diesel,200.0,45.6,2.0,9198
 Kuga,2015,Manual,27513,Diesel,145.0,54.3,2.0,14498
 Focus,2017,Manual,32511,Petrol,150.0,41.5,2.0,14998
 Fiesta,2016,Manual,21888,Petrol,125.0,54.3,1.2,8498
 Fiesta,2019,Manual,11130,Petrol,145.0,58.9,1.0,13995
 Focus,2017,Manual,14441,Petrol,145.0,41.5,2.0,18498
 Focus,2018,Manual,13401,Petrol,145.0,60.1,1.0,13998
 Fiesta,2019,Manual,10567,Petrol,145.0,58.9,1.0,12798
 Fiesta,2019,Manual,7872,Petrol,145.0,58.9,1.0,14698
 Ka+,2017,Manual,10641,Petrol,30.0,57.7,1.2,7698
 EcoSport,2018,Manual,10222,Petrol,145.0,54.3,1.0,12498
 Fiesta,2017,Manual,28519,Petrol,20.0,62.8,1.0,9998
 Kuga,2017,Manual,51772,Diesel,125.0,60.1,2.0,13998
 Fiesta,2016,Automatic,7350,Petrol,0.0,57.7,1.0,9500
 Ka+,2018,Manual,12231,Petrol,145.0,47.9,1.2,8195
 Kuga,2019,Automatic,5354,Petrol,150.0,31.0,1.5,21498
 Focus,2017,Manual,19525,Petrol,145.0,41.5,2.0,17998
 EcoSport,2018,Manual,11922,Petrol,145.0,54.3,1.0,14498
 C-MAX,2016,Manual,16984,Diesel,20.0,68.9,1.5,9998
 Fiesta,2016,Manual,16070,Petrol,125.0,54.3,1.2,7998
 Focus,2018,Manual,26648,Petrol,145.0,61.4,1.0,10998
 Fiesta,2017,Manual,19140,Petrol,145.0,62.8,1.0,10998
 Focus,2016,Manual,26399,Diesel,0.0,74.3,1.5,9998
 Fiesta,2013,Manual,53545,Petrol,30.0,54.3,1.2,5498
 Fiesta,2017,Manual,25491,Petrol,0.0,65.7,1.0,9298
 Fiesta,2014,Manual,31359,Petrol,0.0,65.7,1.0,7298
 Focus,2016,Manual,51656,Diesel,0.0,74.3,1.5,8498
 Kuga,2016,Semi-Auto,11221,Diesel,145.0,54.3,2.0,17698
 Kuga,2017,Manual,23356,Diesel,145.0,60.1,2.0,14498
 EcoSport,2018,Manual,15267,Petrol,145.0,53.3,1.0,12898
 B-MAX,2017,Manual,41294,Diesel,0.0,74.4,1.5,7998
 C-MAX,2018,Manual,7993,Petrol,145.0,49.6,1.0,12198
 EcoSport,2017,Manual,30207,Petrol,145.0,53.3,1.0,9698
 Fiesta,2016,Manual,19815,Petrol,0.0,65.7,1.0,8798
 Kuga,2015,Manual,43717,Diesel,145.0,54.3,2.0,14298
 Focus,2018,Manual,4534,Petrol,145.0,58.9,1.0,15798
 Fiesta,2017,Manual,9148,Petrol,145.0,65.7,1.0,10298
 KA,2014,Manual,22609,Petrol,30.0,57.7,1.2,4898
 Focus,2016,Manual,15510,Diesel,0.0,74.3,1.5,10298
 Fiesta,2017,Manual,20347,Petrol,0.0,65.7,1.0,9998
 Kuga,2018,Manual,3044,Petrol,145.0,39.2,1.5,16698
 Fiesta,2017,Manual,5233,Petrol,125.0,54.3,1.2,8998
 Grand C-MAX,2015,Manual,28359,Diesel,125.0,60.1,1.6,8998
 Focus,2017,Semi-Auto,12244,Petrol,125.0,51.4,1.0,12498
 Fiesta,2018,Manual,17918,Petrol,145.0,65.7,1.0,12498
 S-MAX,2020,Semi-Auto,4623,Diesel,145.0,43.5,2.0,34498
 EcoSport,2017,Manual,16770,Petrol,145.0,44.8,1.5,9298
 Focus,2017,Manual,25459,Petrol,145.0,60.1,1.0,10900
 EcoSport,2017,Manual,23913,Petrol,125.0,53.3,1.0,9998
 Fiesta,2018,Manual,9901,Petrol,150.0,65.7,1.0,12998
 Focus,2016,Semi-Auto,15006,Petrol,125.0,51.4,1.0,10998
 Focus,2017,Manual,19593,Petrol,145.0,41.5,2.0,15500
 Kuga,2017,Semi-Auto,23027,Diesel,145.0,58.9,1.5,16200
 C-MAX,2016,Semi-Auto,13580,Diesel,20.0,64.2,1.5,10500
 Focus,2015,Manual,32000,Diesel,20.0,67.3,2.0,13200
 Focus,2019,Manual,15365,Petrol,145.0,60.1,1.0,18698
 Focus,2019,Manual,7924,Diesel,145.0,80.7,1.5,16998
 Fiesta,2017,Manual,10721,Petrol,145.0,65.7,1.0,9998
 EcoSport,2017,Manual,25939,Petrol,145.0,53.3,1.0,9498
 Fiesta,2019,Manual,3265,Petrol,145.0,58.9,1.0,17498
 Focus,2019,Automatic,11045,Petrol,145.0,41.5,1.0,15998
 EcoSport,2020,Manual,250,Petrol,145.0,51.4,1.0,17998
 B-MAX,2013,Manual,44901,Petrol,145.0,47.1,1.4,5698
 Focus,2017,Manual,22001,Petrol,20.0,60.1,1.0,9998
 Fiesta,2020,Manual,4563,Petrol,145.0,54.3,1.0,17298
 Fiesta,2019,Manual,12236,Petrol,145.0,55.4,1.0,16998
 Kuga,2019,Manual,7584,Diesel,145.0,39.2,2.0,23998
 Fiesta,2013,Manual,41599,Petrol,0.0,65.7,1.0,6498
 Grand C-MAX,2017,Manual,10373,Petrol,145.0,54.3,1.0,12498
 Fiesta,2013,Manual,79300,Petrol,0.0,65.7,1.0,4998
 C-MAX,2017,Manual,12982,Petrol,30.0,55.4,1.0,11498
 Focus,2017,Manual,24386,Diesel,0.0,74.3,1.5,11298
 EcoSport,2017,Manual,18209,Diesel,30.0,64.2,1.5,9298
 EcoSport,2018,Manual,9796,Petrol,145.0,54.3,1.0,12998
 Fiesta,2018,Manual,9428,Petrol,145.0,62.8,1.0,14498
 Galaxy,2016,Manual,30528,Diesel,125.0,56.5,2.0,18498
 C-MAX,2016,Manual,41772,Petrol,30.0,55.4,1.0,8498
 Fiesta,2015,Manual,15673,Petrol,0.0,65.7,1.0,8298
 Focus,2015,Manual,47219,Diesel,0.0,74.3,1.5,8498
 Focus,2018,Manual,16081,Petrol,150.0,57.7,1.0,12998
 Focus,2019,Manual,10476,Petrol,145.0,60.1,1.0,16998
 Fiesta,2016,Manual,16647,Petrol,0.0,65.7,1.0,9998
 Kuga,2017,Manual,41457,Diesel,150.0,54.3,2.0,13698
 Focus,2017,Semi-Auto,4735,Petrol,125.0,51.4,1.0,13998
 EcoSport,2016,Manual,24045,Petrol,125.0,53.3,1.0,9498
 EcoSport,2019,Manual,6500,Petrol,145.0,51.4,1.0,15984
 EcoSport,2017,Manual,60190,Petrol,160.0,44.8,1.5,8489
 Fiesta,2017,Manual,27000,Diesel,0.0,78.5,1.5,9995
 Fiesta,2017,Manual,32538,Petrol,0.0,65.7,1.0,8498
 Kuga,2016,Manual,36345,Diesel,150.0,54.3,2.0,13498
 Focus,2016,Manual,43623,Petrol,20.0,61.4,1.0,8998
 Kuga,2013,Semi-Auto,58500,Diesel,200.0,45.6,2.0,9998
 Kuga,2017,Manual,15729,Diesel,145.0,54.3,2.0,17498
 Fiesta,2018,Manual,7892,Petrol,145.0,65.7,1.0,9998
 Fiesta,2017,Manual,24725,Petrol,145.0,47.9,1.6,11990
 Focus,2019,Manual,7000,Diesel,145.0,80.7,1.5,16899
 EcoSport,2019,Manual,3500,Petrol,145.0,51.4,1.0,15984
 EcoSport,2019,Manual,4500,Petrol,145.0,51.4,1.0,15984
 EcoSport,2019,Manual,4000,Petrol,145.0,51.4,1.0,15984
 EcoSport,2019,Manual,4889,Diesel,145.0,68.9,1.5,13998
 Kuga,2017,Manual,20633,Diesel,150.0,54.3,2.0,17994
 Galaxy,2016,Semi-Auto,47937,Diesel,165.0,51.4,2.0,17489
 Kuga,2018,Semi-Auto,28500,Diesel,145.0,54.3,2.0,19899
 Fiesta,2014,Manual,85000,Petrol,30.0,54.3,1.2,4699
 EcoSport,2017,Manual,23000,Petrol,125.0,53.3,1.0,9949
 C-MAX,2017,Manual,9995,Petrol,145.0,55.4,1.0,11498
 C-MAX,2017,Manual,12626,Petrol,30.0,55.4,1.0,10898
 C-MAX,2018,Manual,7320,Petrol,145.0,55.4,1.0,12998
 C-MAX,2019,Manual,23394,Petrol,145.0,48.7,1.0,13498
 C-MAX,2017,Manual,12932,Diesel,20.0,68.9,1.5,9998
 Focus,2019,Automatic,22246,Diesel,150.0,64.2,2.0,18998
 Fiesta,2019,Manual,5530,Petrol,150.0,48.7,1.1,11798
 Fiesta,2019,Manual,4590,Petrol,150.0,48.7,1.1,11798
 Fiesta,2017,Manual,28479,Petrol,0.0,65.7,1.0,8498
 Kuga,2013,Manual,67895,Diesel,200.0,47.9,2.0,8998
 Focus,2019,Manual,6249,Petrol,145.0,60.1,1.0,14799
 Focus,2019,Manual,8560,Petrol,145.0,60.1,1.0,14799
 Mustang,2020,Automatic,3500,Petrol,145.0,22.1,5.0,42489
 Kuga,2017,Manual,9940,Petrol,145.0,45.6,1.5,17498
 Focus,2019,Manual,4930,Petrol,145.0,60.1,1.0,16498
 Focus,2018,Manual,12011,Petrol,145.0,41.5,2.0,19698
 Fiesta,2016,Manual,23053,Petrol,125.0,54.3,1.2,8498
 Focus,2016,Manual,17589,Petrol,200.0,41.5,2.0,16998
 Focus,2019,Manual,7000,Petrol,145.0,58.9,1.0,14998
 Grand Tourneo Connect,2019,Manual,3500,Diesel,145.0,61.4,1.5,19999
 Kuga,2019,Automatic,5500,Diesel,145.0,47.9,2.0,20999
 Focus,2019,Manual,7000,Petrol,145.0,60.1,1.0,14998
 Focus,2019,Manual,7000,Petrol,145.0,58.9,1.0,14998
 EcoSport,2019,Manual,5000,Diesel,145.0,68.9,1.5,13998
 Kuga,2017,Manual,33026,Diesel,145.0,60.1,2.0,13898
 Fiesta,2016,Manual,8560,Petrol,0.0,65.7,1.0,11498
 Focus,2018,Manual,16548,Petrol,145.0,41.5,2.0,19698
 Focus,2017,Manual,49485,Diesel,0.0,74.3,1.5,10498
 Mondeo,2017,Semi-Auto,14569,Diesel,145.0,53.3,2.0,17498
 Kuga,2015,Manual,60151,Diesel,145.0,54.3,2.0,12498
 Focus,2017,Manual,9148,Petrol,145.0,61.4,1.0,11498
 Fiesta,2017,Manual,13548,Petrol,0.0,65.7,1.0,10998
 Mondeo,2019,Automatic,7337,Hybrid,140.0,47.1,2.0,22998
 Fiesta,2015,Manual,6649,Petrol,125.0,54.3,1.2,8498
 Focus,2017,Manual,7690,Petrol,150.0,60.1,1.0,11998
 Fiesta,2019,Manual,3396,Petrol,150.0,48.7,1.1,11898
 Fiesta,2019,Manual,15766,Petrol,145.0,58.9,1.0,11498
 Fiesta,2019,Manual,7349,Petrol,145.0,58.9,1.0,13298
 C-MAX,2016,Manual,36860,Diesel,20.0,68.9,1.5,9698
 EcoSport,2018,Manual,59498,Diesel,145.0,68.9,1.5,10498
 Kuga,2015,Manual,17367,Diesel,125.0,60.1,2.0,10998
 Fiesta,2017,Manual,14403,Petrol,145.0,64.2,1.1,9598
 Focus,2019,Manual,20647,Petrol,145.0,60.1,1.0,16998
 Fiesta,2019,Manual,13351,Petrol,145.0,58.9,1.0,13498
 Fiesta,2016,Manual,34804,Petrol,125.0,54.3,1.2,6998
 Kuga,2017,Manual,38113,Diesel,125.0,60.1,2.0,15498
 Fiesta,2018,Manual,27399,Petrol,145.0,64.2,1.1,9949
 C-MAX,2018,Manual,2455,Diesel,145.0,68.9,1.5,12998
 Edge,2016,Automatic,52000,Diesel,200.0,47.9,2.0,20799
 Mustang,2020,Automatic,3500,Petrol,145.0,30.7,2.3,38489
 Fiesta,2018,Manual,35417,Petrol,145.0,64.2,1.1,9489
 Fiesta,2019,Semi-Auto,11982,Petrol,145.0,48.7,1.0,13949
 Fiesta,2018,Manual,28138,Petrol,145.0,56.5,1.0,10990
 Kuga,2017,Manual,34805,Diesel,145.0,54.3,2.0,13489
 Focus,2015,Manual,64612,Diesel,20.0,67.3,1.6,7994
 Fiesta,2018,Manual,19665,Petrol,145.0,60.1,1.0,11489
 Kuga,2018,Manual,17500,Diesel,150.0,64.2,1.5,15699
 Focus,2020,Manual,4000,Diesel,145.0,74.3,1.5,19998
 Focus,2020,Manual,5000,Diesel,145.0,74.3,1.5,19489
 Focus,2019,Manual,7000,Petrol,145.0,58.9,1.0,14998
 EcoSport,2016,Manual,26445,Diesel,30.0,64.2,1.5,9199
 C-MAX,2017,Manual,26445,Diesel,20.0,68.9,1.5,10489
 EcoSport,2018,Manual,2922,Diesel,145.0,64.2,1.5,11489
 Mustang,2018,Automatic,3000,Petrol,145.0,28.8,2.3,29998
 Mustang,2018,Automatic,6250,Petrol,145.0,23.5,5.0,31498
 Focus,2018,Manual,6691,Petrol,145.0,61.4,1.0,11999
 Grand Tourneo Connect,2018,Automatic,9486,Diesel,145.0,56.6,1.5,15990
 Focus,2019,Automatic,8703,Petrol,145.0,40.9,1.5,16998
 EcoSport,2019,Manual,5636,Diesel,145.0,68.9,1.5,15489
 S-MAX,2019,Manual,8224,Diesel,145.0,56.5,2.0,22489
 S-MAX,2019,Manual,4000,Diesel,145.0,56.5,2.0,22489
 Fiesta,2015,Manual,55898,Diesel,0.0,78.5,1.5,5998
 Focus,2017,Manual,28001,Petrol,145.0,60.1,1.0,10998
 Kuga,2014,Manual,36052,Diesel,160.0,47.9,2.0,11498
 Mustang,2016,Semi-Auto,42086,Petrol,570.0,23.5,5.0,24999
 Kuga,2017,Manual,34673,Diesel,125.0,60.1,2.0,15298
 Edge,2018,Manual,22068,Diesel,145.0,48.7,2.0,19498
 Focus,2019,Manual,19936,Petrol,145.0,60.1,1.0,16998
 Grand Tourneo Connect,2017,Manual,4856,Diesel,145.0,61.4,1.5,13998
 B-MAX,2017,Semi-Auto,1397,Petrol,165.0,44.1,1.6,11298
 Focus,2017,Automatic,21649,Petrol,145.0,46.3,1.5,13398
 Focus,2017,Manual,10345,Petrol,145.0,41.5,2.0,17798
 Kuga,2018,Manual,14960,Diesel,145.0,64.2,1.5,14998
 Focus,2015,Manual,35689,Petrol,205.0,41.5,2.0,13998
 EcoSport,2017,Manual,31998,Petrol,145.0,44.8,1.5,9189
 Fiesta,2018,Manual,7200,Petrol,145.0,65.7,1.0,10399
 Edge,2017,Automatic,27146,Diesel,145.0,47.9,2.0,23899
 Fiesta,2013,Manual,66937,Petrol,30.0,54.3,1.2,5330
 EcoSport,2019,Manual,5099,Petrol,145.0,51.4,1.0,15985
